,PitchRight,RollRight,YawRight,WristPosZRight,ElbowPosYRight,ElbowPosZRight,GrabStrenthRight,GrabAngleRight,PinchStrengthRight,TimeLeft,PitchLeft,RollLeft,YawLeft,WristPosXLeft,WristPosYLeft,ElbowposXLeft,GrabStrenthLeft,GrabAngleLeft,PinchStrengthLeft,label,PositionXDiff,PositionYDiff,PositionZDiff,xyzTotal,velxyzTotal
51,0.2120166,-0.7280953,-0.3311729,8.882242,28.40288,193.0891,0.0,0.110915,0.0,11.232000000000028,0.8828325,0.9986021,-0.04473496,-93.48079,126.0277,-187.4899,0.0,0.0,0.0,Spontaneous,71.03781,-24.152799999999985,-42.948069000000004,86.45383061649068,298.9134313361126
52,0.407585,-0.6063471,-0.4575724,28.72387,-24.11489,178.3391,0.0,0.08690909,0.0,11.315400000000013,0.7009186,0.7855492,0.1120211,-98.09233,128.6917,-205.3615,0.0,0.0,0.0,Spontaneous,68.55635000000001,-1.7160000000000082,-11.144820000000001,69.4775128667895,653.8569223317893
53,0.7424912,-0.5311135,-0.8031453,68.10278,-10.91618,165.104,0.0,0.02936594,0.0,11.397700000000045,0.5219295,0.5803329,0.1671242,-100.4082,130.6064,-206.3841,0.0,0.5738099,0.0,Spontaneous,62.641400000000004,23.49539999999999,46.07378,81.23282599176517,757.5363684456839
54,1.271214,-0.6415523,-1.306979,93.22372,-2.278719,134.4803,0.0,0.1338124,0.0,11.480500000000006,0.4438675,0.5886918,0.2585204,-104.7941,135.9389,-172.3017,0.0,0.7826313,0.0,Spontaneous,54.99520000000001,27.274599999999992,93.858768,112.15098821980047,536.8448109961848
55,1.812728,-0.8709959,-1.818321,103.2866,-0.2168803,106.4012,0.0,0.1749228,0.0,11.5634,0.5772787,1.054736,0.1535036,-106.3191,136.9904,-141.5271,0.0,1.26015,0.0,Spontaneous,39.266029999999986,16.670199999999994,122.13644500000001,129.37166566616867,215.08029475266022
56,1.829592,-0.8774086,-1.83278,105.2329,13.89296,96.0309,0.0,0.02473416,0.0,11.647000000000048,0.5929173,1.523702,0.1099567,-107.2531,136.5014,-186.8163,0.7776482,2.330259,0.0,Spontaneous,34.18290999999999,15.159500000000008,128.093112,133.43960101170356,112.05235262894132
57,1.583,-0.8838845,-1.585545,98.87067,-15.31698,121.7648,0.0,0.1784082,0.0,11.729000000000042,0.5309761,1.996104,0.329925,-116.7014,135.0647,-236.4059,0.7032208,2.119123,0.2230925,Spontaneous,34.90494000000001,28.127899999999983,109.130879,117.97916064342142,324.6359558866186
58,1.218909,-0.855553,-1.070902,87.55077,-4.775124,106.0096,0.0,0.08332658,0.0,11.811800000000003,0.5712937,2.43279,0.4284369,-112.6444,127.9609,-233.9263,0.7818322,2.684659,0.7148623,Spontaneous,50.820199999999986,48.064099999999996,91.76122,115.38185270110026,215.11479548313852
59,0.8257401,-0.8074632,-0.6034443,81.45626,-23.06265,116.0697,0.0,0.0,0.0,11.894900000000009,0.5706601,2.905121,0.5616941,-111.6544,131.5642,-258.5729,1.0,3.031552,0.9489217,Spontaneous,70.09339999999999,41.89609999999999,74.97271,110.85700322268367,286.0504054932195
60,0.3902721,-0.7363287,-0.3610924,76.0861,8.723455,168.7987,0.0,0.07384995,0.0,11.977700000000029,0.5756748,3.121252,0.670344,-111.1625,129.7022,-237.8365,0.0,2.72748,1.0,Spontaneous,82.86197,27.580299999999994,52.087289999999996,101.68512575551549,270.35449770691724
61,0.24459,-0.6178215,-0.3029397,72.0459,56.30892,212.3137,0.0,0.3883296,0.0,12.060400000000016,0.5421187,-3.01921,0.6033141,-108.7995,127.4045,-214.9687,0.0,2.415645,1.0,Spontaneous,82.26064,15.00539999999998,44.9294,94.92431673038051,63.50643363226714
62,0.1523746,-0.5117947,-0.3380627,78.97915,70.48257,198.8845,0.0,0.3766325,0.0,12.143200000000036,0.3224254,3.140582,0.4900476,-109.3741,124.5543,-205.3558,0.0,2.609938,0.6699995,Spontaneous,80.76329000000001,28.16410000000002,56.35687,102.43057325150046,260.78482342526553
63,0.1335478,-0.4076012,-0.4061587,80.99197,84.88183,185.1649,0.0,0.2902472,0.0,12.226,0.1191166,2.913984,0.3578151,-110.5611,127.7355,-207.747,0.0,2.518021,0.8988377,Spontaneous,74.29387999999999,44.95349999999999,63.24175,107.42400435082887,220.5420343412541
64,0.2013695,-0.4324567,-0.3876807,62.30934,66.14322,176.183,0.0,0.5564112,0.0,12.30880000000002,0.155655,2.653855,0.179555,-118.1188,133.1225,-241.8459,0.4684808,1.552385,0.0,Spontaneous,59.939099999999996,40.6251,34.764824000000004,80.32239691749105,699.7379651688123
65,0.1619989,-0.5153328,-0.3225152,30.96013,48.94977,171.2607,0.0,0.8216823,0.0,12.391700000000014,0.2854795,2.179802,0.09013847,-125.9196,147.9743,-263.869,0.1676126,1.035941,0.0,Spontaneous,45.133099999999985,3.115000000000009,-6.9854400000000005,45.77659131699955,754.8608293126795
66,0.1653537,-0.5151603,-0.2801985,9.483091,19.55867,176.9003,0.0,0.4279831,0.0,12.475400000000036,0.4744694,1.701714,0.03615803,-117.0453,143.3932,-203.6373,0.0,0.4257558,0.0,Spontaneous,50.596500000000006,-19.59019999999998,-41.06602,68.04557110444735,269.04896559529845
67,0.2050671,-0.5280013,-0.2894169,9.570752,-5.749685,172.083,0.0,0.3213071,0.0,12.557299999999998,0.6202521,1.405615,0.02072942,-113.0042,145.6797,-168.9052,0.0,0.1307127,0.0,Spontaneous,58.706599999999995,-24.126299999999986,-49.000975000000004,80.18502844172734,129.51722808539603
68,0.3537805,-0.5364127,-0.3929912,24.60997,-19.38364,152.3878,0.0,0.3463199,0.0,12.641100000000051,0.6969669,1.286872,-0.007332885,-109.6144,144.1904,-185.8298,0.0,0.1877651,0.0,Spontaneous,60.7825,-7.911999999999978,-32.542539,69.39833495709044,395.9601074618677
69,0.3905301,-0.5486796,-0.422031,54.51094,7.909453,162.4887,0.0,0.4541109,0.0,12.723300000000052,0.7545373,1.288393,-0.08988871,-109.1108,145.1481,-174.2099,0.0,0.9250568,0.0,Spontaneous,63.2337,3.0389000000000124,-0.45269000000000004,63.3082984855548,347.09174085134686
70,0.3585562,-0.4638472,-0.4574683,81.55352,37.81816,191.1854,0.0,0.4477397,0.0,12.805800000000032,0.8521283,1.353814,-0.2372128,-107.8479,140.6987,-182.8572,0.0,1.393163,0.0,Spontaneous,61.055400000000006,14.147899999999993,26.147774000000002,67.90899077975666,368.0124508846096
71,0.4031749,-0.4103232,-0.5014548,107.9643,41.84937,188.1696,0.0,0.3360496,0.0,12.889100000000042,0.8592314,1.315357,-0.1463667,-107.1395,134.7164,-168.2996,0.0,1.589391,0.03742977,Spontaneous,69.43209999999999,26.531200000000013,57.472841,93.95663114682901,467.71074450750234
72,0.3578642,-0.4426361,-0.5380149,126.3086,85.45583,202.0986,0.0,0.5482779,0.0,12.971500000000049,0.3142102,0.6830294,0.3337626,-121.4319,147.3543,-176.0123,0.0,1.545689,0.0,Spontaneous,85.62274,49.06209999999999,83.264862,129.1177002017796,444.9295145601455
73,0.3627062,-0.4705799,-0.5413162,131.3617,78.67469,203.5936,0.0,0.4899554,0.0,13.054300000000012,-0.002156923,0.3610192,0.4668134,-126.2473,149.6144,-223.6315,0.0,1.243934,0.0,Spontaneous,94.07851000000001,68.40969999999999,81.011473,141.7515850194975,97.09979479518864
74,0.2832843,-0.4521628,-0.5302852,124.0525,93.27074,212.0867,0.0,0.4665833,0.0,13.137200000000009,-0.1346042,0.3788969,0.5174361,-129.708,153.3418,-219.1968,0.0,1.431556,0.0,Spontaneous,93.62594000000001,67.10419999999999,70.358139,134.97799088024286,261.3682235201338
75,0.1935365,-0.4475813,-0.4539418,97.74217,92.07591,198.627,0.0,0.3244882,0.0,13.220200000000034,-0.05171787,0.4627122,0.5346068,-130.4215,150.7652,-211.3707,0.0,1.795445,0.0,Spontaneous,87.68929,48.753799999999984,37.141938,106.9853642024924,502.2151444574825
76,0.08125636,-0.403241,-0.4057198,72.4525,96.53335,180.2017,0.0,0.2494268,0.0,13.302800000000047,-0.1525958,0.4343545,0.6544431,-136.0632,158.9697,-209.8117,0.0,1.992851,0.0,Spontaneous,80.04363,24.46799999999999,1.6804699999999997,83.71672298291303,514.1144922200561
77,0.1374619,-0.3522001,-0.2772017,49.69519,74.42524,170.6253,0.0,0.4460705,0.0,13.385700000000044,0.1145546,0.5418056,0.6307474,-134.6027,159.3822,-172.1371,0.0,2.068674,0.2282818,Spontaneous,72.43691,-3.9250999999999863,-24.253239999999998,76.49007772813216,413.8228819477513
78,0.1216976,-0.313652,-0.2386806,33.78395,61.11135,181.9119,0.0,0.5361332,0.0,13.468500000000006,0.4279771,0.9088565,0.4470171,-129.1517,156.9337,-182.7689,0.0,2.108844,0.0,Spontaneous,62.03161,-26.828600000000023,-37.239022,77.16501264607287,189.68720737981488
79,0.1427694,-0.3124931,-0.2630715,17.97356,52.96297,184.3366,0.0,0.4499676,0.0,13.551300000000026,0.6619704,1.114071,0.2747585,-124.0559,151.4556,-187.3195,0.0,2.48544,0.0,Spontaneous,53.045000000000016,-37.303,-51.746176999999996,82.9635622916189,301.0991985997202
80,0.2271131,-0.3720858,-0.2633596,5.674819,0.7379318,189.8406,0.0,0.2638267,0.0,13.63420000000002,0.8618562,1.43818,-0.06903189,-117.4884,149.7998,-197.4236,1.0,3.141593,0.7006944,Spontaneous,46.87100000000001,-44.19490000000002,-64.549369,91.19594763643921,154.32797520293528
81,0.2968536,-0.3719437,-0.2563816,-1.206575,-7.199834,165.5368,0.0,0.2604827,0.0,13.71700000000004,1.036597,1.668808,-0.4039441,-108.6023,144.0525,-188.3627,0.8000507,3.090121,0.8010454,Spontaneous,48.01809999999999,-39.1533,-74.62396,96.99203180973991,135.72598596959796
82,0.4139357,-0.4215558,-0.3136388,1.191761,-5.739105,160.3331,0.0,0.3137247,0.0,13.800400000000025,0.9128987,1.874136,-0.352093,-112.8434,155.6829,-195.4302,0.4037888,2.892143,0.737712,Spontaneous,43.45730000000002,-33.0591,-74.70567,92.53311918577533,221.75079428694863
83,0.6456662,-0.5413752,-0.4924815,11.187,-5.835411,141.4582,0.0,0.4292145,0.0,13.8827,0.7948254,2.155595,-0.1469297,-115.442,154.4464,-212.3504,0.9290377,2.973163,0.5028811,Spontaneous,45.241399999999985,-6.330600000000004,-57.225970000000004,73.2234416888533,656.6786551475017
84,0.9729499,-0.6789239,-0.7873728,30.25403,-27.31742,110.6283,0.0,0.4469804,0.0,13.966300000000048,0.6895742,2.668027,0.2480514,-122.9941,156.1937,-224.178,0.0,2.53427,0.9069593,Spontaneous,52.03699999999999,19.98320000000001,-6.841544000000001,56.16034522279876,626.5578239800043
